Sc -0.190 1.700 0.310 -8.282 6.561 1.360 1.064 3 1.640 0.85 4.17
Ti -0.500 1.600 0.280 -8.326 6.827 1.540 0.998 4 1.404 0.83 3.58
V -0.270 1.530 0.260 -7.494 6.746 1.630 1.316 5 1.341 1.22 2.57
Cr 0.310 1.390 0.250 -6.604 6.766 1.660 0.944 6 1.263 2.36 0.98
Mn 0.430 1.390 0.230 -6.520 7.434 1.550 -0.513 7 1.279 1.33 2.46
Fe 0.250 1.320 0.220 -7.360 7.902 1.830 -0.846 8 1.080 2.98 1.23
Co 0.150 1.260 0.210 -7.562 7.880 1.880 -0.573 9 0.887 4.80 1.30
Ni 1.590 1.240 0.195 -7.699 7.639 1.910 -1.750 10 0.844 1.91 0.58
Cu 1.680 1.320 0.185 -5.097 7.726 1.900 -2.748 11 0.928 0.47 0.45
Zn 0.760 1.220 0.175 -3.174 9.394 1.650 -3.581 12 1.159 0.52 0.01
Zr -0.900 1.750 0.540 -8.071 6.634 1.330 1.749 4 1.788 0.16 1.15
Nb -0.760 1.640 0.510 -8.042 6.758 1.600 1.132 5 1.646 0.35 0.69
Mo -0.910 1.540 0.490 -5.661 7.092 2.160 0.820 6 1.310 0.99 2.06
Tc -0.460 1.470 0.455 -6.988 7.275 1.900 0.006 7 1.264 2.84 1.37
Ru -0.560 1.420 0.450 -7.135 7.361 2.220 -0.191 8 0.951 3.54 1.46
Rh -0.170 1.420 0.420 -7.579 7.459 2.280 -0.056 9 0.619 4.47 0.46
Pd 1.840 1.390 0.400 -5.704 8.337 2.200 -2.046 10 0.703 1.01 0.09
Ag 0.730 1.450 0.385 -1.862 7.576 1.930 -4.184 11 0.853 0.09 0.57
Cd -0.060 1.440 0.370 -1.185 8.994 1.690 -2.385 12 0.984 0.15 0.02
Hf -1.040 1.750 0.630 -9.420 6.824 1.300 1.392 4 1.589 0.36 2.45
Ta -1.080 1.700 0.605 -8.892 7.887 1.500 0.841 5 1.645 0.73 2.46
W -1.450 1.620 0.590 -7.101 7.980 2.360 0.096 6 1.558 1.91 2.01
Re -0.910 1.510 0.565 -6.599 7.877 1.900 -0.055 7 1.379 1.42 1.93
Os -0.730 1.440 0.543 -7.784 8.706 2.200 -0.262 8 1.179 3.59 0.91
Ir -0.300 1.410 0.526 -8.361 9.121 2.200 -0.135 9 0.720 4.42 0.42
Pt 1.490 1.360 0.510 -7.677 9.017 2.280 -1.487 10 0.715 2.33 0.14
Au 2.240 1.360 0.488 -2.953 9.225 2.540 -3.348 11 0.918 0.02 0.57
Ti -0.498 1.600 0.280 -8.232 6.827 1.540 0.688 4 1.345 1.12 3.17
V -0.270 1.530 0.260 -7.494 6.746 1.630 0.890 5 1.275 1.92 2.12
Cr 0.351 1.390 0.250 -6.809 6.766 1.660 0.826 6 1.212 2.43 0.37
Mn 0.436 1.390 0.230 -6.725 7.434 1.550 -0.103 7 1.226 1.28 1.61
Fe 0.285 1.320 0.220 -7.658 7.902 1.830 -0.267 8 1.058 3.49 1.55
Co 0.170 1.260 0.210 -7.807 7.880 1.880 -0.389 9 0.855 5.57 0.80
Ni 1.590 1.240 0.195 -7.699 7.639 1.910 -1.594 10 0.800 4.36 1.15
Cu 1.867 1.320 0.185 -5.243 7.726 1.900 -2.538 11 0.891 0.59 0.57
Zn 1.090 1.220 0.175 -3.572 9.394 1.650 -4.913 12 1.115 0.54 0.01
Zr -0.900 1.750 0.540 -8.071 6.634 1.330 0.669 4 1.775 0.38 0.57
Nb -0.739 1.640 0.510 -7.893 6.758 1.600 0.781 5 1.529 0.09 0.91
Mo -0.782 1.540 0.490 -6.190 7.092 2.160 0.093 6 1.214 2.03 1.31
Tc -0.391 1.470 0.455 -6.696 7.275 1.900 -0.570 7 1.203 3.27 1.83
Ru -0.524 1.420 0.450 -7.349 7.361 2.220 -0.874 8 0.963 4.15 1.17
Rh -0.200 1.420 0.420 -7.649 7.459 2.280 -0.730 9 0.672 4.55 0.50
Pd 1.900 1.390 0.400 -5.704 8.337 2.200 -2.065 10 0.680 2.07 0.11
Ag 0.970 1.450 0.385 -2.036 7.576 1.930 -4.061 11 0.772 0.11 0.49
Cd -0.080 1.440 0.370 -1.185 8.994 1.690 -2.003 12 1.061 0.47 0.02
